Update,PUBLICATION,,PRICE,DA,DR,GENRE,TAT,SPONSORED,INDEXED,DOFOLLOW,REGION / LOCATION,EROTIC,HEALTH,CBD,CRYPTO,GAMBLING
,Saudia Gazette,,"$6,000",77,76,News,1 Week,Discreet,Y,N,UAE,,,,,
,"USA Today (50,000 Impressions)",,"$6,000",94,92,News,2-4 Weeks,N,Y,N,UNITED STATES,,,,Y,
,OK Magazine + Social Post,,"$6,000",81,75,Entertainment,1 Week,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,The Epoch Times,,"$6,000",89,83,News,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Radar Online + Social Post,,"$6,000",81,79,Entertainment ,1-3 Days,N,Y,Y,LOS ANGELES,,Y,Y,Y,Y
,Life Without Andy,,"$5,000",45,57,News,1 Week,N,Y,Y,AUSTRALIA,,,,,
,Music Feeds,,"$5,000",69,71,Music,1 Week,N,Y,Y,AUSTRALIA,,,,,
,Maxim Full Feature ,,"$5,000",86,78,News/Fashion,1-3 Weeks,N,Y,N,NEW YORK,,Y,Y,Y,
Has a new URL,GamesBeat,,"$5,000",92,91,Gaming,1-2 Weeks,N,Y,Y,UNITED STATES,,,,Y,
,Venture Beat,,"$5,000",92,91,Tech,1 Week,N,Y,Y,GLOBAL,,,,Y,
,Consequence.net (Staff),,"$5,000",81,79,Music,1 Week,N,Y,N,NEW YORK,,,,,
,Bitcoin.com (Sponsored),,"$5,000",88,88,Crypto,3 Days,Y,Y,N,GLOBAL,,,,Y,
Lowered,US Weekly,,"$5,000",91,84,Lifestyle ,1 Week,Discreet,Y,N,GLOBAL,,Y,Y,Y,Y
New,Forbes Ukraine,,"$5,000",92,76,News,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,Wired,,"$5,000",92,92,Tech,1-2 Weeks,N,N,N,UNITED STATES,,,,,
,PC Mag,,"$4,500",92,91,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
Raised,Gulf News (Press Release),,"$4,500",90,85,News,1-2 Weeks,N,Y,Y,UAE,,,,,
,BizJournals.com (New York),,"$4,500",92,91,Business,1-2 Weeks,Discrete,Y,N,UNITED STATES,,,,,
,BizJournals.com (Los Angeles),,"$4,500",92,91,Business,1-2 Weeks,Dscirete,Y,N,UNITED STATES,,,,,
,Entrepreneur (Asia Pacific),,"$4,500",92,91,News,1-2 Weeks,N,Y,Y,ASIA PACIFIC,,,,Y,
,BizJournals.com (Dallas),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,TEXAS,,,,,
,Thrive Global (Mention + Quote),,"$4,500",84,86,News,2-4 Weeks,N,Y,Y,UNITED STATES,,,,,
,BizJournals.com (Chicago),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,CHICAGO,,,,,
,BizJournals.com (Miami),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,MIAMI,,,,,
New,BizJournals.com (Washington DC),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,BizJournals.com (National),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,BizJournals.com (Silicon Valley),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,BizJournals.com (Seattle),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,BizJournals.com (Atlanta),,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,BizJournals.com (Honolulu) ,,"$4,500",92,91,Business,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,,
New,Billboard (Africa),,"$4,500",92,90,Music,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
,Mashable,,"$4,000",93,91,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,CNET,,"$4,000",94,92,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,ZDNET,,"$4,000",92,91,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,Lifehacker,,"$4,000",92,90,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,Extreme Tech,,"$4,000",86,82,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,Spiceworks,,"$4,000",84,87,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,Ask Men,,"$4,000",84,81,Tech,1-2 Weeks,Discreet,Y,N,UNITED STATES,,,,Y,
,Pitchfork,,"$4,000",89,85,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Them,,"$4,000",79,79,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Self,,"$4,000",90,87,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Allure,,"$4,000",90,87,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Bon Appétit,,"$4,000",88,90,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Teen Vogue,,"$4,000",89,86,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Architectural Digest,,"$4,000",87,89,Real Estate,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Epicurious,,"$4,000",87,85,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Glamour,,"$4,000",90,87,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Condé Nast Traveler,,"$4,000",89,88,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Ars Technica,,"$4,000",92,90,Lifestyle,1-2 Weeks,Y,Y,N,UNITED STATES,,,,,
,PC World (Press Release),,"$4,000",91,88,Tech,3-5 Days,Y,Y,N,UNITED STATES,,,,Y,
,CIO (Press Release),,"$4,000",87,89,News,3-5 Days,Y,Y,N,UNITED STATES,,,,Y,
,Computer World (Press Release),,"$4,000",88,89,Tech,3-5 Days,N,Y,Y,UNITED STATES,,,,Y,
,Tech Hive (Press Release),,"$4,000",85,78,Tech,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Info World (Press Release),,"$4,000",86,86,News,3-5 Days,Y,Y,N,UNITED STATES,,,,Y,
,Mac World (Press Release),,"$4,000",89,86,Tech,3-5 Days,Y,Y,N,UNITED STATES,,,,Y,
,Tech Advisor (Press Release),,"$4,000",89,81,Tech,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Network World (Press Release),,"$4,000",84,85,Tech,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,CSO (Press Release),,"$4,000",85,87,News,3-5 Days,Y,Y,Y,UNITED STATES,,,,Y,
,Paper Mag,,"$4,000",82,80,Entertainment,1-3 Days,N,Y,N,UNITED STATES,,Y,Y,Y,Y
,Geekwire,,"$4,000",87,86,Tech,3-5 Days,Discreet,Y,N,GLOBAL,,,,,
,USA Today,,"$4,000",94,92,News,1-2 Weeks,N,Y,N,GLOBAL,,,,Y,
,Hollywood Life + IG Post,,"$4,000",90,80,Entertainment,5 Days,N,Y,M,CALIFORNIA,,Y,Y,,
,DailyTimes.com,,"$4,000",49,50,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,Herald-Zeitung.com,,"$4,000",57,61,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,BaytownSun.com,,"$4,000",54,56,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,CIO.com (Mention),,"$4,000",87,88,News,4-8 Weeks,N,Y,N,UNITED STATES,,,,,
,SeguinGazette.com,,"$4,000",94,49,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,TheParisNews.com,,"$4,000",54,49,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,Baycity Tribune,,"$4,000",42,37,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,LufkinDailyNews.com,,"$4,000",57,57,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,SwokNews.com,,"$4,000",58,60,News,1-5 Days,Y,Y,Y,OKLAHOMA,Y,Y,Y,Y,Y
,Galvnews.com,,"$4,000",66,72,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,TheFacts.com,,"$4,000",71,56,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
,DailySentinel.com,,"$4,000",51,46,News,1-5 Days,Y,Y,Y,TEXAS,Y,Y,Y,Y,Y
New (Posted in German),IGN (Germany),,"$4,000",93,88,Entertainment,1-2 Weeks,Y,Y,Y,UNITED STATES,,,,Y,Y
,Organic Coverage (NY Post / The Sun / The Mirror / Daily Star / Daily Mirror / The Express / Daily Mail),,"$3,600",94,86,News,3-4 Weeks,N,Y,N,UNITED KINGDOM,Y,,Y,Y,
,Digital Trends,,"$3,500",92,90,Tech,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Village Voice (DO-FOLLOW),,"$3,500",85,82,Lifestyle,1 Day,N,Y,Y,UNITED STATES,,Y,Y,Y,Y
,Bust Magazine (DO-FOLLOW),,"$3,500",73,74,Lifestyle,1 Day,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,Irvine Weekly (DO-FOLLOW),,"$3,500",35,49,Lifestyle,1 Day,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,LA Weekly (DO-FOLLOW),,"$3,500",76,84,Lifestyle,1 Day,N,Y,Y,CALIFORNIA,,Y,Y,Y,Y
,Galore Magazine + IG Post,,"$3,500",78,66,Lifestyle,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Clash Music,,"$3,500",76,75,Music,2-3 Weeks,N,Y,Y,UNITED STATES,,,,,
,Forbes (Turkey) ,,"$3,000",31,36,News,1 Week,N,Y,N,TURKEY,,,,,
,Times of Israel,,"$3,000",91,91,News,3-5 Days,Y,M,N,ISREAL,Y,Y,,Y,
,Marie Claire Ukraine (+ IG Post),,"$3,000",47,53,Fashion,1 Week,N,Y,Y,UKRAINE,,,,,
Raised,PIX11,,"$3,000",82,80,News,1 Week,Y,Y,N,NEW YORK,,,,,
,LA Times (Sponsored),,"$3,000",93,92,News,2-4 Weeks,Y,Y,N,CALIFORNIA,,,Y,Y,
Updated TAT,Muscle & Fitness (Includes Social Post),,"$3,000",85,78,Lifestyle,2-3 Weeks,N,Y,Y,UNITED STATES,,,,,
,Harper's Bazaar (Turkey),,"$3,000",31,50,Fashion,1 Week,N,Y,Y,TURKEY,,,,,
Updated TAT,Esquire (Turkey),,"$3,000",33,46,Fashion,2-3 Weeks,N,Y,N,TURKEY,,,,,
Updated TAT,GQ (Turkey),,"$3,000",44,56,Fashion,2-3 Weeks,N,Y,N,TURKEY,,,,,
Updated TAT,Vogue (Turkey),,"$3,000",53,64,Fashion,2-3 Weeks,N,Y,N,TURKEY,,,,,
,Top Gear (Middle East),,"$3,000",12,10,Lifestyle,1-2 Weeks,N,Y,N,MIDDLE EAST / UAE,,,,,
,The Canberra Times,,"$3,000",85,80,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Wicked Local,,"$3,000",81,81,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,,
,Independent-Mail,,"$3,000",69,70,News,1-2 Weeks,N,Y,N,SOUTH CAROLINA,,,,Y,
,Aberdeen News,,"$3,000",63,66,News,1-2 Weeks,N,Y,N,VIRIGINA,,,,Y,
,Springfield News Leader,,"$3,000",78,76,News,1-2 Weeks,N,Y,N,MISSOURI,,,,,
,Grazia Middle East,,"$3,000",71,74,Fashion,1 Week,N,Y,N,MIDDLE EAST,,,,Y,
,CEO Middle East,,"$3,000",23,52,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Masala,,"$3,000",60,55,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Cosmopolitan Middle East,,"$3,000",57,65,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Watch Pro,,"$3,000",52,68,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Esquire Middle East,,"$3,000",69,71,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Harper's Bazaar Arabia,,"$3,000",66,74,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Construction Week Online,,"$3,000",62,74,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,Arabian Business ,,"$3,000",85,80,News,1-2 Weeks,N,Y,N,UAE,,,,,
Updated TAT,Perez Hilton,,"$3,000",88,77,Entertainment,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Windsor Star,,"$3,000",82,75,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Canada.com,,"$3,000",77,81,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Toronto Sun,,"$3,000",88,82,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Vancouver Sun,,"$3,000",86,84,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,The Province,,"$3,000",73,76,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Montreal Gazette,,"$3,000",84,81,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,The Star Phoenix,,"$3,000",81,74,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Edmonton Journal,,"$3,000",84,79,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Ottawa Citizen,,"$3,000",85,81,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Canoe.com,,"$3,000",82,73,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Sports Illustrated (Contributor),,"$3,000",92,88,News,2-3 Weeks,N,Y,Y,UNITED STATES,,Y,,,
,Edmonton Sun,,"$3,000",70,71,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Ottawa Sun,,"$3,000",73,72,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Leader Post,,"$3,000",72,74,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Calgary Sun,,"$3,000",74,72,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,National Post,,"$3,000",90,86,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Calgary Herald,,"$3,000",85,81,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Financial Post,,"$3,000",88,86,News,4-6 Weeks,Y,Y,N,CANADA,,,,Y,
,Bitcoin.com (Press Release),,"$3,000",88,88,Crypto,3 Days,Discreet,Y,N,GLOBAL,,,,Y,
,IGN (Nordic),,"$3,000",92,88,Technology ,3-5 Days,Discreet,Y,N,NORDIC,,Y,Y,Y,Y
,The Independent,,"$3,000",94,91,News,2 Weeks,Discreet,Y,N,UNITED KINGDOM,,Y,Y,Y,
,Tough Jobs,,"$3,000",15,19,News,1 Week,N,Y,N,UNITED STATES,,,,,
,Investing.com,,"$3,000",90,88,Business,1-2 Weeks,N,Y,N,UNITED STATES,,,,Y,
,Forbes Israel,,"$3,000",51,70,News,1-2 Weeks,Discreet,Y,Y,ISRAEL,,,,,
,The Big Lead,,"$3,000",78,72,Sports,1-2 Weeks,N,Y,Y,UNITED STATES,,Y,,,
Lowered,Inman.com (Contributor),,"$3,000",76,83,Real Estate,2-3 Weeks,N,Y,N,UNITED STATES,,,,,
New,Entrepreneur (UK),,"$3,000",92,91,Tech,1 Week,N,Y,Y,UNITED STATES,,,,,
New,Entrepreneur (Middle East),,"$3,000",92,91,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,Rolling Stone (Australia),,"$2,500",92,90,Entertainment,1 Week,N,Y,Y,AUSTRALIA,,,,,
,The Music Network,,"$2,500",62,69,Music,1 Week,N,Y,Y,AUSTRALIA,,,,,
,Variety (Australia),,"$2,500",93,91,Entertainment,1 Week,N,Y,Y,AUSTRALIA,,,,,
,The Brag (Australia),,"$2,500",77,71,News,1 Week,N,Y,Y,AUSTRALIA,,,,,
,Tone Deaf (Australia),,"$2,500",77,71,Entertainment,1 Week,N,Y,Y,AUSTRALIA,,,,,
Raised,Medical Daily,,"$2,500",82,81,Medical,1 Week,N,Y,N,GLOBAL,,Y,,Y,
Raised,Rolling Stone (MENA),,"$2,500",92,90,Entertainment,1-2 Weeks,N,Y,Y,AFRICA,,,,,
,IB Times (NA),,"$2,500",92,86,Business,1 Week,N,Y,N,UNITED STATES,,,,,
,The Manual,,"$2,500",76,77,Lifestyle,1 Week,N,Y,Y,UNITED STATES,,,,Y,
,The Express (US) (Contributor),,"$2,500",58,62,News,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,The Mirror (US) (Contributor),,"$2,500",61,69,News,1 Week,N,Y,N,UNITED STATES,,,,,
,Portnews,,"$2,500",58,61,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Central Western Daily,,"$2,500",53,58,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Examiner,,"$2,500",63,71,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Bendigo Advertiser,,"$2,500",58,68,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Western Advocate,,"$2,500",51,57,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Newcastle Herald,,"$2,500",63,73,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Hawkesbury Gazette,,"$2,500",53,54,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Bega District News,,"$2,500",54,56,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Daily Liberal,,"$2,500",69,62,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Blue Mountain Gazette,,"$2,500",51,63,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Farm Weekly,,"$2,500",57,63,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Land,,"$2,500",53,71,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Mandurah Mail,,"$2,500",55,56,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Advocate,,"$2,500",57,68,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Northwest Star,,"$2,500",51,56,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Queensland Country Life,,"$2,500",60,69,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Bordermail,,"$2,500",63,68,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Armidale Express,,"$2,500",47,52,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Daily Advertiser,,"$2,500",56,58,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Leader,,"$2,500",61,71,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Southern Highland News,,"$2,500",45,54,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Maitland Mercury,,"$2,500",55,57,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Illawarra Mercury,,"$2,500",63,72,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Standard,,"$2,500",57,65,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Northern Daily Leader,,"$2,500",54,63,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,South Coast Register,,"$2,500",49,56,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Courier,,"$2,500",63,71,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,The Californian,,"$2,500",67,69,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,Wausau Daily Herald,,"$2,500",76,70,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Journal & Courier,,"$2,500",72,72,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,Record Searchlight,,"$2,500",68,73,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,Post Crescent,,"$2,500",76,73,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,York Daily Record,,"$2,500",79,74,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Lubbock Avalanche-Journal,,"$2,500",81,74,News,1-2 Weeks,N,Y,N,TEXAS,,,,Y,
,Green Bay Press Gazette,,"$2,500",75,75,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,The Fayetteville Observer,,"$2,500",76,75,News,1-2 Weeks,N,Y,N,NORTH CAROLINA,,,,Y,
,My Central Jersey,,"$2,500",81,75,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,The Coloradoan,,"$2,500",75,76,News,1-2 Weeks,N,Y,N,COLORADO,,,,Y,
,Montgomery Advertiser,,"$2,500",76,76,News,1-2 Weeks,N,Y,N,ALABAMA,,,,Y,
,Burlington Free Press,,"$2,500",75,76,News,1-2 Weeks,N,Y,N,VERMONT,,,,Y,
,The Gainesville Sun,,"$2,500",76,76,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,GoErie,,"$2,500",77,76,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Statesman Journal,,"$2,500",78,76,News,1-2 Weeks,N,Y,N,OREGON,,,,Y,
,The Citizen-Times,,"$2,500",77,77,News,1-2 Weeks,N,Y,N,NORTH CAROLINA,,,,Y,
,Tallahassee Democrat,,"$2,500",77,78,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Florida Today,,"$2,500",77,78,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Reno Gazette-Journal,,"$2,500",78,78,News,1-2 Weeks,N,Y,N,NEVADA,,,,Y,
,Naples Daily News,,"$2,500",79,78,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,The News-Press,,"$2,500",78,78,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,The Clarion-Ledger,,"$2,500",79,78,News,1-2 Weeks,N,Y,N,MISSISSIPPI,,,,Y,
,Democrat & Chronicle,,"$2,500",78,79,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,The Desert Sun,,"$2,500",76,79,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
